time,power_reference.common@sensor_1:VALUE,power_hi.common@sensor_1:VALUE
2025-06-12 08:47:51,595.5833333333334,167.7179487179487
2025-06-12 08:48:51,601.38,169.1587301587302
2025-06-12 08:49:51,608.1366666666667,170.1111111111111
2025-06-12 08:50:51,606.5266666666666,171.0683760683761
2025-06-12 08:51:51,605.6733333333334,172.0940170940171
2025-06-12 08:52:51,611.6811111111111,173.1944444444445
2025-06-12 08:53:51,616.8299999999999,174.8611111111111
2025-06-12 08:54:51,625.8483333333334,176.7460317460317
2025-06-12 08:55:51,621.9866666666667,177.7074829931973
2025-06-12 08:56:51,623.9166666666666,178.5238095238095
2025-06-12 08:57:51,623.7718518518518,180.2820512820513
2025-06-12 08:58:51,649.8788888888889,187.6666666666667
2025-06-12 08:59:51,166.12,63.0
2025-06-12 09:00:51,676.5525,188.6363636363636
2025-06-12 09:01:51,562.1,183.0
2025-06-12 09:02:51,662.5459999999999,193.4096385542169
2025-06-12 09:03:51,669.31,194.855421686747
2025-06-12 09:04:51,674.7800000000001,200.5384615384615
2025-06-12 09:05:51,670.27,196.3636363636364
2025-06-12 09:06:51,683.79,198.1333333333333
2025-06-12 09:07:51,674.14,199.4666666666667
2025-06-12 09:08:51,689.59,203.2
2025-06-12 09:09:51,701.18,205.0
2025-06-12 09:10:51,693.4549999999999,202.2
2025-06-12 09:11:51,691.9488888888889,201.3333333333333
2025-06-12 09:12:51,448.1333333333333,124.3333333333333
2025-06-12 09:13:51,435.26,132.3333333333333
2025-06-12 09:14:51,680.5766666666667,200.3333333333333
2025-06-12 09:15:51,669.4133333333334,197.4871794871795
2025-06-12 09:16:51,680.25,199.4848484848485
2025-06-12 09:17:51,702.4666666666667,204.4444444444445
2025-06-12 09:18:51,716.116,212.3013698630137
2025-06-12 09:19:51,719.8499999999999,214.0
2025-06-12 09:20:51,520.8933333333333,140.6666666666667
2025-06-12 09:21:51,165.4766666666667,60.77777777777778
2025-06-12 09:22:51,168.0533333333333,61.33333333333334
2025-06-12 09:23:51,727.58,227.0
2025-06-12 09:24:51,707.6133333333333,214.8333333333333
2025-06-12 09:25:51,704.79875,208.7619047619048
2025-06-12 09:26:51,706.3266666666666,211.5555555555555
2025-06-12 09:27:51,702.6274999999999,209.3333333333333
2025-06-12 09:28:51,696.610303030303,225.0
2025-06-12 09:29:51,711.4833333333333,215.3333333333333
2025-06-12 09:30:51,756.6428571428571,233.8
2025-06-12 09:31:51,749.47,159.0
2025-06-12 09:32:51,202.82,73.0
2025-06-12 09:33:51,297.47,94.0
2025-06-12 09:34:51,656.75,176.0
2025-06-12 09:35:51,734.02,228.5
2025-06-12 09:36:51,731.2222222222223,223.7
2025-06-12 09:37:51,720.49,221.2666666666667
2025-06-12 09:38:51,723.1999999999999,217.5
2025-06-12 09:39:51,724.355,218.0
2025-06-12 09:40:51,732.08,225.0
2025-06-12 09:41:51,750.6279999999999,229.2857142857143
2025-06-12 09:42:51,730.5360000000001,236.0
2025-06-12 09:43:51,701.18,228.0
2025-06-12 09:44:51,724.36,228.9310344827586
2025-06-12 09:45:51,727.1171428571429,227.551724137931
2025-06-12 09:46:51,732.08,225.0
2025-06-12 09:47:51,727.255,228.1190476190476
2025-06-12 09:48:51,741.1011111111111,231.5555555555555
2025-06-12 09:49:51,751.1877777777778,237.4313725490196
2025-06-12 09:50:51,745.3877777777777,232.0
2025-06-12 09:51:51,746.2488888888888,234.7555555555556
2025-06-12 09:52:51,747.6584848484848,237.2549019607843
2025-06-12 09:53:51,753.3333333333334,239.4385964912281
2025-06-12 09:54:51,761.06,243.6666666666667
