time,irr_1_MAX_VALUE,irr_2_MAX_VALUE,irr_3_MAX_VALUE,irr_dav_1_MAX_VALUE
2025-09-04 16:51:00+02:00,34.4260563380282,36.33076923076923,36.016233766233746,288.15411375661375
2025-09-04 16:52:00+02:00,34.00352112676061,36.0002316478952,35.626623376623364,283.93285879629633
2025-09-04 16:53:00+02:00,33.58098591549299,35.48130841121497,35.23701298701298,277.70550925925926
2025-09-04 16:54:00+02:00,33.15741672255758,34.920560747663586,34.803553391053406,277.3048544973545
2025-09-04 16:55:00+02:00,32.64285714285714,34.35981308411217,34.3041666666667,269.1226488095238
2025-09-04 16:56:00+02:00,32.07142857142856,33.8294888979906,33.80416666666669,261.3470701754386
2025-09-04 16:57:00+02:00,31.5,33.35059760956178,33.304166666666674,257.6816632553606
2025-09-04 16:58:00+02:00,30.96164463555768,32.8725099601594,32.86133366303989,253.05001253132832
2025-09-04 16:59:00+02:00,30.54849498327761,32.39442231075699,32.50445103857566,247.23042613636366
2025-09-04 17:00:00+02:00,30.147157190635465,31.958565737051796,32.14836795252224,248.89458333333334
2025-09-04 17:01:00+02:00,29.74581939799332,31.65609756097562,31.79228486646883,244.41076566951565
2025-09-04 17:02:00+02:00,29.344481605351177,31.363414634146363,31.436201780415416,245.54306666666665
2025-09-04 17:03:00+02:00,28.94396332144677,31.070731707317105,31.06086311443684,243.58652777777777
2025-09-04 17:04:00+02:00,28.546357615894053,30.778048780487836,30.326086956521745,239.82837632275132
2025-09-04 17:05:00+02:00,28.14900662251658,30.485365853658553,29.45652173913044,241.5581994047619
2025-09-04 17:06:00+02:00,27.751655629139094,30.192682926829278,26.557936507936507,234.70546717171717
2025-09-04 17:07:00+02:00,27.354304635761597,29.837642911585366,19.74259259259259,234.2993650793651
2025-09-04 17:08:00+02:00,26.37839241656928,29.37109375,13.027370193159667,224.36329365079362
2025-09-04 17:09:00+02:00,22.186507936507937,28.90234375,9.572727272727274,225.3452380952381
2025-09-04 17:10:00+02:00,16.109725400457666,28.43359375,9.0,217.84897016178266
2025-09-04 17:11:00+02:00,10.941168935734154,27.491391782407405,9.0,214.0802297979798
2025-09-04 17:12:00+02:00,9.0,23.308333333333337,9.0,215.6742474747475
2025-09-04 17:13:00+02:00,9.0,16.877876984126985,9.0,214.44708333333332
2025-09-04 17:14:00+02:00,9.0,11.245756424713633,9.0,205.89455555555557
2025-09-04 17:15:00+02:00,9.0,9.92340791738382,9.0,184.2987222222222
2025-09-04 17:16:00+02:00,9.0,9.820137693631668,9.0,134.46166666666667
2025-09-04 17:17:00+02:00,9.0,9.716867469879515,9.0,81.83036111111112
2025-09-04 17:18:00+02:00,9.0,9.613597246127364,9.0,50.20405303030304
2025-09-04 17:19:00+02:00,9.0,9.510327022375213,9.0,47.79932291666666
2025-09-04 17:20:00+02:00,9.0,9.407056798623062,9.0,44.69572382478632
2025-09-04 17:21:00+02:00,8.995697074010327,9.303786574870912,9.0,49.30421626984127
2025-09-04 17:22:00+02:00,8.91824440619621,9.20051635111876,9.0,48.355401785714285
2025-09-04 17:23:00+02:00,8.81497418244406,9.097246127366608,9.0,45.91380341880342
2025-09-04 17:24:00+02:00,8.711703958691908,8.984186051685969,9.0,45.25862268518518
2025-09-04 17:25:00+02:00,8.608433734939757,8.824099722991694,9.0,46.94650462962963
2025-09-04 17:26:00+02:00,8.505163511187606,8.657894736842113,9.0,40.76117181540809
2025-09-04 17:27:00+02:00,8.401893287435454,8.491689750692533,9.0,44.55905092592593
2025-09-04 17:28:00+02:00,8.298623063683303,8.32548476454295,9.0,42.54344410491469
2025-09-04 17:29:00+02:00,8.195352839931152,8.159279778393358,8.957327586206896,41.39115909090909
2025-09-04 17:30:00+02:00,8.092082616179,8.017313019390583,8.854310344827583,44.25628890445066
2025-09-04 17:31:00+02:00,8.007888697647735,8.0,8.750862068965512,44.78520401382244
2025-09-04 17:32:00+02:00,8.0,8.0,8.647413793103441,44.61979797979797
2025-09-04 17:33:00+02:00,8.0,8.0,8.54396551724137,44.36307870370371
