time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1755752820,8.845094664371773,8.0,9.507745266781413,107.3034693877551
1755752825,8.853700516351118,8.0,9.516351118760758,107.5004081632653
1755752830,8.862306368330465,8.0,9.524956970740105,107.6973469387755
1755752835,8.870912220309812,8.0,9.53356282271945,107.8942857142857
1755752840,8.879518072289157,8.0,9.542168674698797,108.0912244897959
1755752845,8.888123924268502,8.0,9.550774526678142,108.17
1755752850,8.896729776247849,8.0,9.559380378657488,107.8483333333333
1755752855,8.905335628227196,8.0,9.567986230636834,107.3122222222222
1755752860,8.91394148020654,8.0,9.57659208261618,106.7761111111111
1755752865,8.922547332185886,8.0,9.585197934595525,115.8971428571429
1755752870,8.931153184165233,8.0,9.593803786574872,119.76
1755752875,8.93975903614458,8.0,9.602409638554217,112.806
1755752880,8.948364888123924,8.0,9.611015490533564,114.7928571428571
1755752885,8.95697074010327,8.0,9.61962134251291,118.9321428571429
1755752890,8.965576592082616,8.0,9.628227194492256,119.76
1755752895,8.974182444061963,8.0,9.636833046471601,110.7870967741936
1755752900,8.982788296041308,8.0,9.645438898450948,112.6564516129032
1755752905,8.991394148020653,8.0,9.654044750430293,114.5258064516129
1755752910,9.0,8.0,9.66265060240964,116.3951612903226
1755752915,9.0,8.0,9.671256454388985,118.2645161290323
1755752920,9.0,8.0,9.679862306368332,119.76
1755752925,9.0,8.0,9.688468158347677,119.1166666666667
1755752930,9.0,8.0,9.697074010327023,119.76
1755752935,9.0,8.0,9.705679862306368,112.0333333333333
1755752940,9.0,8.0,9.714285714285715,111.2379411764706
1755752945,9.0,8.0,9.72289156626506,112.9423529411765
1755752950,9.0,8.0,9.731497418244407,114.6467647058823
1755752955,9.0,8.0,9.740103270223752,116.3511764705882
1755752960,9.0,8.0,9.748709122203099,118.0555882352941
1755752965,9.0,8.0,9.757314974182444,119.76
1755752970,9.0,8.0,9.765920826161791,119.76
1755752975,9.0,8.0,9.774526678141136,110.3627027027027
1755752980,9.0,8.0,9.783132530120483,111.9289189189189
1755752985,9.0,8.0,9.791738382099828,113.4951351351351
1755752990,9.0,8.0,9.800344234079175,115.0613513513514
1755752995,9.0,8.0,9.80895008605852,116.6275675675676
1755753000,9.0,8.003436426116838,9.817555938037867,118.1937837837838
1755753005,9.0,8.012027491408935,9.826161790017212,119.76
1755753010,9.0,8.02061855670103,9.834767641996558,119.76
1755753015,9.0,8.029209621993127,9.843373493975903,109.521
1755753020,9.0,8.037800687285223,9.85197934595525,116.54
1755753025,9.0,8.04639175257732,9.860585197934595,119.76
1755753030,9.0,8.054982817869416,9.869191049913942,119.76
1755753035,9.0,8.063573883161512,9.877796901893287,119.76
1755753040,9.0,8.072164948453608,9.886402753872634,119.76
1755753045,9.0,8.080756013745704,9.895008605851979,114.6088888888889
1755753050,9.0,8.0893470790378,9.903614457831326,109.0988461538462
1755753055,9.0,8.097938144329897,9.912220309810671,110.0276923076923
1755753060,9.0,8.106529209621993,9.920826161790018,110.9565384615385
1755753065,9.0,8.115120274914089,9.929432013769363,111.8853846153846
1755753070,9.0,8.123711340206185,9.93803786574871,112.8142307692308
1755753075,9.0,8.132302405498281,9.946643717728055,113.7430769230769
1755753080,9.0,8.140893470790378,9.955249569707401,114.6719230769231
1755753085,9.0,8.149484536082474,9.963855421686747,115.6007692307692
1755753090,9.0,8.15807560137457,9.972461273666093,116.5296153846154
1755753095,9.0,8.166666666666666,9.981067125645438,117.4584615384615
1755753100,9.0,8.175257731958762,9.989672977624785,117.83
1755753105,9.0,8.183848797250858,9.99827882960413,113.24
1755753110,9.0,8.192439862542955,10.0,117.465
1755753115,9.0,8.20103092783505,10.0,121.69
1755753120,9.0,8.209621993127147,10.0,121.69
1755753125,9.0,8.218213058419243,10.0,119.7585714285714
1755753130,9.0,8.22680412371134,10.0,121.69
1755753135,9.0,8.235395189003436,10.0,110.7455555555556
1755753140,9.0,8.243986254295532,10.0,112.8918518518519
1755753145,9.0,8.252577319587628,10.0,115.0381481481482
1755753150,9.0,8.261168384879724,10.0,117.1844444444445
1755753155,9.0,8.26975945017182,10.0,119.3307407407408
1755753160,9.0,8.278350515463917,10.0,121.69
1755753165,9.0,8.286941580756013,10.0,117.1833333333333
1755753170,9.0,8.295532646048109,10.0,113.9628571428571
1755753175,9.0,8.304123711340205,10.0,123.62
1755753180,9.0,8.312714776632301,10.0,123.62
1755753185,9.0,8.321305841924397,10.0,123.62
1755753190,9.0,8.329896907216494,10.0,121.3666666666667
1755753195,9.0,8.33848797250859,10.0,113.0391304347826
1755753200,9.0,8.347079037800686,10.0,115.9782608695652
1755753205,9.0,8.355670103092782,10.0,118.9173913043478
1755753210,9.0,8.364261168384878,10.0,121.8565217391304
1755753215,9.0,8.372852233676975,10.0,123.62
1755753220,9.0,8.38144329896907,10.0,116.86
1755753225,9.0,8.390034364261167,10.0,123.62
1755753230,9.0,8.398625429553263,10.0,116.86
1755753235,9.0,8.40721649484536,10.0,123.62
1755753240,9.0,8.415807560137456,10.0,119.1133333333333
1755753245,9.0,8.424398625429552,10.0,123.62
1755753250,9.0,8.432989690721648,10.0,123.62
1755753255,9.0,8.441580756013744,10.0,115.895
1755753260,9.0,8.45017182130584,10.0,120.7241666666667
1755753265,9.0,8.458762886597937,10.0,121.69
1755753270,9.0,8.467353951890033,10.0,112.03
1755753275,9.0,8.475945017182129,10.0,123.62
1755753280,9.0,8.484536082474225,10.0,114.6066666666667
1755753285,9.0,8.493127147766321,10.0,110.5694594594595
1755753290,9.0,8.501718213058417,10.0,110.8302702702703
1755753295,9.0,8.510309278350514,10.0,111.0910810810811
1755753300,9.0,8.51890034364261,10.0,111.3518918918919
1755753305,9.0,8.527491408934706,10.0,111.6127027027027
1755753310,9.0,8.536082474226802,10.0,111.8735135135135
1755753315,9.0,8.544673539518898,10.0,112.03
1755753320,9.0,8.553264604810995,10.0,111.9693548387097
1755753325,9.0,8.56185567010309,10.0,113.8387096774194
1755753330,9.0,8.570446735395187,10.0,115.708064516129
1755753335,9.0,8.579037800687283,10.0,117.5774193548387
1755753340,9.0,8.58762886597938,10.0,119.4467741935484
1755753345,9.0,8.596219931271476,10.0,121.3161290322581
1755753350,9.0,8.604810996563572,10.0,123.62
1755753355,9.0,8.613402061855668,10.0,121.3666666666667
1755753360,9.0,8.621993127147764,10.0,113.48
1755753365,9.0,8.63058419243986,10.0,116.86
1755753370,9.0,8.639175257731956,10.0,120.24
1755753375,9.0,8.647766323024053,10.0,123.62
1755753380,9.0,8.656357388316149,10.0,123.62
1755753385,9.0,8.664948453608245,10.0,123.62
1755753390,9.0,8.673539518900341,10.0,119.1133333333333
1755753395,9.0,8.682130584192437,10.0,112.03
1755753400,9.0,8.690721649484534,10.0,112.7288888888889
1755753405,9.0,8.69931271477663,10.0,114.6066666666667
1755753410,9.0,8.707903780068726,10.0,116.4844444444444
1755753415,9.0,8.716494845360822,10.0,118.3622222222222
1755753420,9.0,8.725085910652918,10.0,120.24
1755753425,9.0,8.733676975945015,10.0,122.1177777777778
1755753430,9.0,8.74226804123711,10.0,123.62
1755753435,9.0,8.750859106529207,10.0,120.24
1755753440,9.0,8.759450171821303,10.0,123.62
1755753445,9.0,8.7680412371134,10.0,116.86
1755753450,9.0,8.776632302405496,10.0,120.24
1755753455,9.0,8.785223367697592,10.0,123.62
1755753460,9.0,8.793814432989688,10.0,116.86
1755753465,9.0,8.802405498281784,10.0,114.1673684210526
1755753470,9.0,8.81099656357388,10.0,116.7094736842105
1755753475,9.0,8.819587628865976,10.0,119.2515789473684
1755753480,9.0,8.828178694158073,10.0,119.76
1755753485,9.0,8.836769759450169,10.0,111.5475
1755753490,9.0,8.845360824742265,10.0,110.6146666666667
1755753495,9.00513698630137,8.853951890034361,10.0,111.258
1755753500,9.013698630136986,8.862542955326457,10.0,111.9013333333333
1755753505,9.022260273972602,8.871134020618554,10.0,121.05
1755753510,9.030821917808218,8.87972508591065,10.0,125.56
1755753515,9.039383561643834,8.888316151202746,10.0,117.83
1755753520,9.04794520547945,8.896907216494842,10.0,121.501
1755753525,9.056506849315067,8.905498281786938,10.0,125.56
1755753530,9.065068493150683,8.914089347079035,10.0,112.8137837837838
1755753535,9.0736301369863,8.92268041237113,10.0,113.5975675675676
1755753540,9.082191780821915,8.931271477663227,10.0,114.3813513513514
1755753545,9.090753424657532,8.939862542955323,10.0,115.1651351351351
1755753550,9.099315068493148,8.94845360824742,10.0,115.9489189189189
1755753555,9.107876712328764,8.957044673539516,10.0,116.7327027027027
1755753560,9.11643835616438,8.965635738831612,10.0,117.5164864864865
1755753565,9.124999999999996,8.97422680412371,10.0,117.83
1755753570,9.133561643835613,8.982817869415806,10.0,113.6928571428572
1755753575,9.142123287671229,8.991408934707902,10.0,125.56
1755753580,9.150684931506845,9.0,10.0,124.401
1755753585,9.159246575342461,9.0,10.0,118.606
1755753590,9.167808219178077,9.0,10.0,114.935
1755753595,9.176369863013694,9.0,10.0,115.7391666666667
1755753600,9.18493150684931,9.0,10.0,115.9
1755753605,9.193493150684926,9.0,10.0,113.8207692307692
1755753610,9.202054794520542,9.0,10.0,113.0746153846154
1755753615,9.210616438356158,9.0,10.0,123.62
1755753620,9.219178082191775,9.0,10.0,123.62
1755753625,9.22773972602739,9.0,10.0,113.5388888888889
1755753630,9.236301369863007,9.0,10.0,125.56
1755753635,9.244863013698623,9.0,10.0,125.56
1755753640,9.25342465753424,9.0,10.0,114.4846666666667
1755753645,9.261986301369856,9.0,10.0,115.128
1755753650,9.270547945205472,9.0,10.0,115.7713333333333
1755753655,9.279109589041088,9.0,10.0,115.9
1755753660,9.287671232876704,9.0,10.0,115.128
1755753665,9.29623287671232,9.0,10.0,118.795
1755753670,9.304794520547937,9.0,10.0,121.69
1755753675,9.313356164383553,9.0,10.0,120.0392857142857
1755753680,9.321917808219169,9.0,10.0,124.1785714285714
1755753685,9.330479452054785,9.0,10.0,127.49
1755753690,9.339041095890401,9.0,10.00343642611684,124.5925
1755753695,9.347602739726018,9.0,10.01202749140893,125.56
1755753700,9.356164383561634,9.0,10.02061855670103,122.34
1755753705,9.36472602739725,9.0,10.02920962199313,125.56
1755753710,9.373287671232866,9.0,10.03780068728522,122.34
1755753715,9.381849315068482,9.0,10.04639175257732,121.696
